,top 3,SPY top 3,top 5,SPY top 5,top 10,SPY top 10
2026-01-27,8568.641985395756,7487.786678646114,11799.92408853315,10523.83521788247,18349.146464251873,16598.366487324467
2026-01-28,8489.929398519442,7399.090934054069,11671.380838240211,10399.176297873968,18145.44847732261,16401.75238254456
2026-01-29,8489.627840146866,7408.990505885567,11706.63211517227,10413.089816935531,18121.194701615168,16423.697014300084
2026-01-30,8239.80656095408,7394.324746045594,11360.837004611798,10392.47757909747,17525.12738152235,16391.187052800622
2026-02-02,8409.145387937308,7504.176284194153,11609.093926337882,10546.870263547637,18085.21199573077,16834.697741290984
2026-02-03,8476.993537525555,7472.552271512196,11653.998695009608,10502.423765179536,18205.34498664634,16763.753153276866
2026-02-04,8228.597159345201,7425.389453621215,11364.489805674395,10436.13799273477,17767.868383202964,16657.949164437403
2026-02-05,8204.380500283663,7341.6619908391995,11292.70813348922,10318.461827621497,17600.26228340391,16470.116886090043
2026-02-06,8499.029970449663,7497.610803331371,11717.060166163088,10537.64269848851,18280.85040944775,16819.968891425884
2026-02-09,8616.60692313082,7503.239578053215,11978.41338816845,10645.553754210783,18726.69376254502,17032.596356121197
2026-02-10,8543.44706804051,7434.247184790603,11893.385896818625,10547.667737981597,18584.457571356375,16875.981393495982
2026-02-11,8734.15905490779,7441.553461964151,12081.467886651344,10558.033842593486,18781.68841522688,16892.566878827805
2026-02-12,8518.876448393577,7334.952486114206,11747.09572563613,10406.788982709064,18291.82293121118,16650.579218173654
2026-02-13,8686.618689009878,7344.828080752771,11973.673673054333,10420.800420366892,18666.26636647223,16672.997137194576
2026-02-17,8793.71940473574,7468.204077921368,12296.19061937399,10753.966152558685,19079.40096153156,17126.061406308298
2026-02-18,8808.12369677468,7504.581026372337,12333.205855190265,10806.347751708015,19169.79638263706,17209.480906692224
2026-02-19,8894.481129706535,7524.7953322617,12423.529562932983,10835.455681682017,19292.12600970238,17255.8362874953
2026-02-20,9005.007816033609,7591.902689062492,12568.481419550995,10932.088049530254,19510.62130752143,17409.72666078907
2026-02-23,9171.514011507488,7772.724696586619,12758.658681332645,11160.475693488137,19543.208629551507,17436.428074391788
2026-02-24,9356.379520663106,7856.368898212781,13027.440351132016,11280.576316575938,19922.743865025517,17624.065764188646
2026-02-25,9426.917001492913,7935.184445515974,13125.099007647399,11393.743710801613,20095.320859484193,17800.87141154413
2026-02-26,9490.106482587462,7864.440227239279,13231.78200836993,11292.165543639896,20206.882987002406,17642.17204654509
2026-02-27,9518.747464951774,7834.721211457993,13243.785809782754,11249.493460656295,20186.51573266071,17575.503857288408
2026-03-02,9531.941083924332,7868.228921555133,13361.280876087132,11397.605544729953,20347.109954693668,17750.67116345878
2026-03-03,9330.189854729852,7840.32922713212,13105.131458885397,11357.191149696166,19908.680543193488,17687.72964177692
2026-03-04,9513.7579738799,7953.4607880191215,13373.245185850541,11521.069059007783,20292.082433365136,17942.953677012174
2026-03-05,9304.29748853935,7893.227868598052,13103.111398890907,11433.818031716475,19862.151438277044,17807.068618694982
2026-03-06,9161.941632004531,7808.26007280361,12902.142856878914,11310.737039777208,19571.04754325112,17615.381846783803
2026-03-09,9529.72360991126,8034.628443853548,13242.573675834645,11493.789269309009,20161.76309289302,18000.468036107086
2026-03-10,9440.086061762142,7956.826038169803,13100.392522928109,11382.490475366852,19962.169233538043,17826.162562440306
2026-03-11,9380.760420590284,7950.901393180611,13015.94254820398,11374.015083943703,19853.79135617653,17812.889218999662
2026-03-12,9237.721455938246,7876.35342586891,12802.328630452912,11267.371866684352,19539.71117369102,17645.874862066008
2026-03-13,9139.005839496822,7846.417862760873,12685.120927499995,11224.548099981725,19376.985763461955,17578.80839463262
2026-03-16,9448.314398630573,8086.269233408251,12984.759814671894,11424.609894310826,20002.340622388947,18092.12594811198
2026-03-17,9435.109594393249,8062.112644485225,12977.043717069915,11390.4804834717,19999.590479480892,18038.07827338623
2026-03-18,9269.058462113584,7922.100330129684,12739.638329360081,11192.66539399842,19593.654398044597,17724.816328663735
2026-03-19,9296.82540515535,7954.283195624529,12767.089260409295,11238.134654660756,19632.09020998098,17796.821902445314
2026-03-20,8883.685476174856,7763.671451601361,12232.644415517361,10968.83063399546,18817.310078354443,17370.349374693113
2026-03-23,9122.279064219998,7856.997322520607,12660.44285126775,11200.685218294257,19504.552249844117,17779.155606856697
2026-03-24,9132.202608685837,7798.939280392781,12663.054858466596,11117.919521989346,19492.15591158113,17647.779341491125
2026-03-25,9194.230443470291,7837.302785828615,12765.365590148262,11172.60931385493,19674.737023095095,17734.58995180063
2026-03-26,8949.604868819803,7732.74147849404,12420.54280514891,11023.550043322788,19147.05894656533,17497.984073340005
2026-03-27,9010.594617205428,7618.283480060305,12433.265912791501,10860.382365067682,19138.552574406698,17238.9835313938
2026-03-30,8857.284362109667,7621.277967624851,12444.29072989235,11064.651211196015,19075.688102224973,17445.759588224093
2026-03-31,9260.19871776782,7864.71389796431,13014.652161343156,11418.074045649926,19910.734948394955,18003.00533281952
2026-04-01,9349.676840923044,7845.784025385285,13104.730006098267,11390.591458287408,20033.37651779344,17959.673229273074
2026-04-02,9342.18889051297,7841.760374552093,13078.28312324358,11384.749879846886,19997.31176700862,17950.462747067726
2026-04-06,9413.606213485667,7933.983851305061,13202.827343670617,11518.640889739212,20166.297594993513,18161.570203147545
2026-04-07,9389.377435328579,7916.005889819828,13190.544022129412,11492.540296877041,20144.988208886363,18120.417105820554
2026-04-08,9599.979319914022,8016.627862672719,13484.821911952802,11638.624331408935,20563.02336633745,18350.74944052103
2026-04-09,9673.205274732292,8081.721991634454,13571.95239504925,11733.128669909354,20656.79134569981,18499.755490332544
2026-04-10,9684.060718610348,8054.339230665309,13561.412662510518,11693.374090610423,20629.21341732394,18437.073999543354
2026-04-13,9794.897714305533,8144.269724466016,13734.220893362282,11823.936123826166,21085.24728467864,18842.932620782747
2026-04-14,9839.659192669564,8177.867949493379,13798.61590753745,11872.714378972121,21184.664220934807,18920.6669188582
